0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  
0.0  0.5  0.8  1.0  1.1  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.2  1.1  1.0  0.8  0.5  0.0  
0.0  1.2  1.8  2.2  2.3  2.4  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.5  2.4  2.3  2.2  1.8  1.2  0.0  
0.0  2.3  3.2  3.5  3.6  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.7  3.6  3.5  3.2  2.3  0.0  
0.0  2.7  3.9  4.4  4.7  4.8  4.9  4.9  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  4.9  4.9  4.8  4.7  4.4  3.9  2.7  0.0  
0.0  2.0  3.3  4.1  4.5  4.7  4.8  4.9  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  4.9  4.8  4.7  4.5  4.1  3.3  2.0  0.0  
0.0  2.0  3.3  4.1  4.5  4.7  4.8  4.9  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  4.9  4.8  4.7  4.5  4.1  3.3  2.0  0.0  
0.0  2.7  3.9  4.4  4.7  4.8  4.9  4.9  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  5.0  4.9  4.9  4.8  4.7  4.4  3.9  2.7  0.0  
0.0  2.6  3.7  4.1  4.1  3.8  3.2  2.0  0.4  -1.5  -3.1  -4.2  -5.0  -5.4  -5.6  -5.6  -5.6  -5.4  -5.0  -4.2  -3.1  -1.5  0.4  2.1  3.2  3.9  4.3  4.4  4.2  3.8  2.7  0.0  
0.0  1.9  3.0  3.5  3.5  3.0  1.8  -0.4  -3.8  -8.2  -11.6  -13.9  -15.2  -15.9  -16.3  -16.4  -16.3  -15.9  -15.2  -13.9  -11.6  -8.2  -3.8  -0.4  1.8  3.1  3.8  4.0  3.8  3.2  1.9  0.0  
0.0  1.9  3.0  3.5  3.5  2.8  1.3  -1.7  -7.2  -15.9  -21.4  -24.5  -26.1  -26.9  -27.3  -27.4  -27.3  -26.9  -26.1  -24.4  -21.4  -15.9  -7.2  -1.6  1.4  3.0  3.7  3.9  3.8  3.2  1.9  0.0  
0.0  2.6  3.7  4.1  4.0  3.6  2.4  -0.4  -7.3  -26.7  -33.6  -36.4  -37.7  -38.3  -38.6  -38.6  -38.6  -38.3  -37.7  -36.4  -33.6  -26.7  -7.3  -0.4  2.4  3.6  4.2  4.3  4.2  3.8  2.7  0.0  
0.0  2.6  3.6  3.8  3.6  2.7  0.7  -4.0  -15.9  -50.0  -50.0  -50.0  -50.0  -50.0  -50.0  -50.0  -50.0  -50.0  -50.0  -50.0  -50.0  -50.0  -15.9  -4.0  0.8  2.8  3.8  4.1  4.1  3.7  2.7  0.0  
0.0  1.8  2.9  3.2  2.9  1.7  -0.9  -5.8  -14.7  -28.2  -33.0  -34.8  -35.6  -35.9  -36.1  -36.1  -36.1  -35.9  -35.6  -34.8  -33.0  -28.2  -14.7  -5.8  -0.8  1.8  3.1  3.6  3.6  3.1  1.9  0.0  
0.0  1.8  2.9  3.2  2.9  1.9  -0.1  -3.6  -8.9  -15.2  -18.9  -20.7  -21.7  -22.1  -22.3  -22.3  -22.3  -22.1  -21.7  -20.7  -18.8  -15.1  -8.9  -3.6  -0.0  2.0  3.2  3.6  3.6  3.1  1.9  0.0  
0.0  2.6  3.6  3.9  3.8  3.2  2.1  0.4  -2.1  -4.7  -6.5  -7.6  -8.2  -8.5  -8.6  -8.6  -8.6  -8.5  -8.2  -7.6  -6.5  -4.7  -2.0  0.4  2.2  3.3  3.9  4.2  4.1  3.7  2.7  0.0  
0.0  2.8  4.1  4.8  5.4  6.2  7.2  8.7  10.7  12.9  14.4  15.3  15.8  16.0  16.1  16.1  16.1  16.0  15.8  15.3  14.4  12.9  10.7  8.7  7.2  6.2  5.6  5.1  4.6  4.0  2.8  0.0  
0.0  2.2  3.7  4.8  5.8  7.0  8.9  11.9  16.3  21.5  24.5  26.0  26.8  27.2  27.3  27.4  27.3  27.2  26.8  26.1  24.5  21.5  16.3  11.9  9.0  7.1  6.0  5.2  4.4  3.5  2.1  0.0  
0.0  2.2  3.7  4.8  5.8  7.2  9.5  13.7  21.0  32.1  36.1  37.6  38.2  38.5  38.6  38.6  38.6  38.5  38.2  37.6  36.1  32.1  21.1  13.7  9.6  7.4  6.1  5.2  4.5  3.5  2.1  0.0  
0.0  2.8  4.1  4.9  5.6  6.5  8.3  12.3  22.1  50.0  50.0  50.0  50.0  50.0  50.0  50.0  50.0  50.0  50.0  50.0  50.0  50.0  22.1  12.3  8.4  6.6  5.7  5.1  4.6  4.0  2.8  0.0  
0.0  2.8  4.0  4.7  5.2  5.9  7.0  9.3  15.0  30.9  36.6  38.9  39.9  40.4  40.6  40.7  40.6  40.4  39.9  38.9  36.6  30.9  15.0  9.4  7.0  5.9  5.4  5.0  4.5  3.9  2.7  0.0  
0.0  2.1  3.5  4.5  5.3  6.3  7.7  10.3  14.9  22.0  26.6  29.1  30.4  31.1  31.4  31.5  31.4  31.1  30.4  29.1  26.6  22.0  14.9  10.3  7.8  6.4  5.6  4.9  4.3  3.4  2.1  0.0  
0.0  2.1  3.5  4.5  5.3  6.1  7.4  9.3  12.2  15.8  18.6  20.4  21.5  22.1  22.4  22.5  22.4  22.1  21.5  20.4  18.6  15.8  12.2  9.3  7.4  6.3  5.5  4.9  4.3  3.4  2.1  0.0  
